,date,sknt,gust
348,2015-08-10 14:52:00,13,13
349,2015-08-11 14:48:00,33,38
350,2015-08-12 14:48:00,17,17
351,2015-08-14 14:52:00,23,23
352,2015-08-15 14:47:00,7,7
353,2015-08-16 14:48:00,6,6
354,2015-08-17 14:53:00,12,16
355,2015-08-18 14:56:00,5,5
356,2015-08-19 14:52:00,11,11
357,2015-08-20 14:57:00,29,38
358,2015-08-21 14:47:00,21,27
359,2015-08-22 14:50:00,1,1
360,2015-08-23 14:51:00,3,3
361,2015-08-24 14:48:00,9,9
362,2015-08-25 14:48:00,26,26
363,2015-08-26 14:51:00,9,9
364,2015-08-27 14:55:00,25,32
365,2015-08-28 14:51:00,3,3
366,2015-08-29 14:56:00,8,8
367,2015-08-30 14:50:00,13,20
368,2015-08-31 14:50:00,56,67
369,2015-09-02 14:56:00,13,21
370,2015-09-03 14:50:00,12,12
371,2015-09-04 14:53:00,9,9
372,2015-09-05 14:52:00,3,3
373,2015-09-06 14:52:00,7,7
374,2015-09-07 14:52:00,46,58
375,2015-09-08 14:54:00,11,11
376,2015-09-09 14:52:00,33,44
377,2015-09-10 14:49:00,7,7
378,2015-09-11 14:53:00,14,14
379,2015-09-12 14:51:00,4,4
380,2015-09-13 14:55:00,23,28
381,2015-09-14 14:47:00,47,52
382,2015-09-15 14:49:00,47,50
383,2015-09-16 14:53:00,8,8
384,2015-09-17 14:51:00,11,11
385,2015-09-18 14:55:00,10,10
386,2015-09-19 14:53:00,22,22
387,2015-09-20 14:55:00,36,36
388,2015-09-21 14:51:00,1,1
389,2015-09-23 14:53:00,8,8
390,2015-09-25 14:50:00,14,14
391,2015-09-27 14:50:00,12,12
392,2015-09-28 14:50:00,17,17
393,2015-09-29 14:54:00,34,44
394,2015-09-30 14:52:00,48,58
395,2015-10-01 14:54:00,11,11
396,2015-10-02 14:51:00,17,17
397,2015-10-03 14:58:00,22,33
398,2015-10-04 14:51:00,22,22
399,2015-10-05 14:52:00,7,7
400,2015-10-06 14:53:00,21,21
401,2015-10-08 14:47:00,10,18
402,2015-10-09 14:53:00,42,46
403,2015-10-10 14:52:00,37,41
404,2015-10-11 14:55:00,43,43
405,2015-10-12 14:53:00,13,13
406,2015-10-13 14:53:00,35,45
407,2015-10-14 14:49:00,29,35
408,2015-10-15 14:55:00,28,28
409,2015-10-16 14:52:00,43,47
410,2015-10-17 14:54:00,40,49
411,2015-10-18 14:51:00,36,49
412,2015-10-19 14:50:00,30,30
413,2015-10-20 14:50:00,60,67
414,2015-10-21 14:47:00,26,26
415,2015-10-22 14:56:00,51,65
416,2015-10-23 14:52:00,18,30
417,2015-10-25 14:55:00,53,63
418,2015-10-26 14:49:00,29,29
419,2015-10-27 14:50:00,15,15
420,2015-10-28 14:56:00,50,62
421,2015-10-29 14:52:00,42,50
422,2015-10-31 14:56:00,22,22
423,2015-11-01 14:50:00,52,59
424,2015-11-02 14:52:00,35,35
425,2015-11-03 14:51:00,46,53
426,2015-11-04 14:53:00,25,25
427,2015-11-07 14:53:00,38,49
428,2015-11-08 14:52:00,54,63
429,2015-11-09 14:58:00,27,27
430,2015-11-10 14:53:00,13,13
431,2015-11-11 14:53:00,6,6
432,2015-11-12 14:50:00,35,35
433,2015-11-13 14:53:00,57,62
434,2015-11-14 14:50:00,51,57
435,2015-11-15 14:54:00,61,68
436,2015-11-16 14:55:00,51,58
437,2015-11-17 14:55:00,23,23
438,2015-11-18 14:53:00,16,16
439,2015-11-19 14:49:00,41,45
440,2015-11-21 14:55:00,13,13
441,2015-11-22 14:56:00,21,21
442,2015-11-23 14:53:00,36,45
443,2015-11-25 14:48:00,22,22
444,2015-11-26 14:57:00,42,42
445,2015-11-27 14:53:00,52,52
446,2015-11-28 14:51:00,26,26
447,2015-11-29 14:48:00,32,37
448,2015-11-30 14:48:00,28,28
449,2015-12-01 14:48:00,20,20
450,2015-12-03 14:48:00,57,66
451,2015-12-04 14:52:00,53,53
452,2015-12-05 14:55:00,33,33
453,2015-12-06 14:52:00,34,34
454,2015-12-07 14:51:00,28,28
455,2015-12-08 14:53:00,11,11
456,2015-12-09 14:51:00,23,23
457,2015-12-10 14:47:00,33,39
458,2015-12-11 14:53:00,39,43
459,2015-12-12 14:55:00,49,54
460,2015-12-13 14:54:00,21,21
461,2015-12-14 14:53:00,24,24
462,2015-12-15 14:56:00,51,63
463,2015-12-16 14:53:00,9,9
464,2015-12-19 14:53:00,60,67
465,2015-12-21 14:53:00,63,70
466,2015-12-22 14:53:00,21,25
467,2015-12-23 14:49:00,26,34
468,2015-12-24 14:47:00,70,80
469,2015-12-25 14:48:00,32,32
470,2015-12-26 14:51:00,22,22
471,2015-12-28 14:51:00,33,33
472,2015-12-29 14:55:00,29,34
473,2015-12-30 14:55:00,43,43
474,2016-01-01 14:55:00,45,50
475,2016-01-02 14:52:00,45,49
476,2016-01-03 14:53:00,38,38
477,2016-01-04 14:55:00,18,18
478,2016-01-05 14:54:00,38,38
479,2016-01-06 14:56:00,42,54
480,2016-01-08 14:56:00,10,10
481,2016-01-09 14:49:00,21,31
482,2016-01-10 14:48:00,54,69
483,2016-01-12 14:56:00,31,40
484,2016-01-13 14:56:00,74,82
485,2016-01-14 14:51:00,46,52
486,2016-01-15 14:52:00,44,48
487,2016-01-16 14:50:00,33,33
488,2016-01-17 14:51:00,16,16
489,2016-01-18 14:51:00,57,62
490,2016-01-19 14:53:00,73,80
491,2016-01-20 14:48:00,59,72
492,2016-01-22 14:51:00,30,30
493,2016-01-23 14:54:00,31,31
494,2016-01-24 14:54:00,25,25
495,2016-01-25 14:49:00,12,12
496,2016-01-26 14:53:00,56,65
497,2016-01-27 14:48:00,58,66
498,2016-01-28 14:55:00,36,49
499,2016-01-29 14:51:00,13,13
500,2016-01-30 14:51:00,31,38
501,2016-01-31 14:52:00,57,62
502,2016-02-01 14:51:00,71,80
503,2016-02-02 14:53:00,31,31
504,2016-02-03 14:55:00,48,61
505,2016-02-04 14:53:00,40,40
506,2016-02-05 14:49:00,33,33
507,2016-02-06 14:49:00,37,37
508,2016-02-07 14:53:00,15,15
509,2016-02-08 14:54:00,38,45
510,2016-02-09 14:55:00,16,16
511,2016-02-10 14:52:00,19,19
512,2016-02-11 14:48:00,26,26
513,2016-02-12 14:51:00,27,27
514,2016-02-13 14:55:00,34,39
515,2016-02-14 14:52:00,52,55
516,2016-02-15 14:52:00,32,42
517,2016-02-17 14:55:00,26,26
518,2016-02-18 14:57:00,19,19
519,2016-02-19 14:52:00,24,24
520,2016-02-20 14:48:00,60,71
521,2016-02-21 14:52:00,51,58
522,2016-02-22 14:54:00,24,24
523,2016-02-23 14:54:00,23,28
524,2016-02-24 14:55:00,39,46
525,2016-02-26 14:56:00,58,65
526,2016-02-27 14:53:00,39,45
527,2016-02-28 14:53:00,34,34
528,2016-02-29 14:54:00,57,57
529,2016-03-01 14:53:00,35,35
530,2016-03-02 14:55:00,67,73
531,2016-03-03 14:50:00,40,45
532,2016-03-04 14:54:00,8,8
533,2016-03-05 14:56:00,16,16
534,2016-03-06 14:55:00,21,21
535,2016-03-07 14:52:00,54,54
536,2016-03-08 14:55:00,34,34
537,2016-03-09 14:49:00,47,56
538,2016-03-10 14:55:00,28,28
539,2016-03-11 14:50:00,52,58
540,2016-03-12 14:55:00,55,62
541,2016-03-13 14:51:00,36,47
542,2016-03-14 14:55:00,37,44
543,2016-03-15 14:54:00,35,35
544,2016-03-16 14:51:00,9,9
545,2016-03-17 14:57:00,33,37
546,2016-03-18 14:49:00,41,46
547,2016-03-19 14:52:00,52,52
548,2016-03-20 14:56:00,8,8
549,2016-03-21 14:52:00,48,57
550,2016-03-22 14:54:00,56,63
551,2016-03-24 14:53:00,29,36
552,2016-03-25 14:51:00,32,43
553,2016-03-27 14:54:00,21,21
554,2016-03-28 14:49:00,37,46
555,2016-03-29 14:54:00,58,63
556,2016-03-30 14:53:00,27,27
557,2016-03-31 14:51:00,59,70
558,2016-04-01 14:50:00,55,72
559,2016-04-02 14:49:00,34,34
560,2016-04-03 14:54:00,66,76
561,2016-04-04 14:51:00,21,21
562,2016-04-05 14:50:00,45,52
563,2016-04-06 14:54:00,14,20
564,2016-04-07 14:51:00,46,55
565,2016-04-08 14:55:00,31,39
566,2016-04-09 14:50:00,28,28
567,2016-04-10 14:51:00,28,28
568,2016-04-11 14:55:00,53,61
569,2016-04-12 14:54:00,30,30
570,2016-04-13 14:53:00,2,2
571,2016-04-14 14:58:00,13,13
572,2016-04-15 14:56:00,22,29
573,2016-04-16 14:51:00,0,0
574,2016-04-17 14:59:00,14,14
575,2016-04-18 14:52:00,22,22
576,2016-04-19 14:55:00,42,53
577,2016-04-20 14:54:00,13,13
578,2016-04-21 14:50:00,28,35
579,2016-04-22 14:48:00,28,35
580,2016-04-23 14:51:00,30,36
581,2016-04-24 14:51:00,30,37
582,2016-04-25 14:55:00,34,43
583,2016-04-26 14:50:00,20,20
584,2016-04-27 14:53:00,37,44
585,2016-04-28 14:53:00,26,26
586,2016-04-29 14:50:00,11,21
587,2016-04-30 14:55:00,12,12
588,2016-05-01 14:54:00,11,11
589,2016-05-02 14:53:00,26,30
590,2016-05-03 14:57:00,5,5
591,2016-05-04 14:48:00,11,11
592,2016-05-05 14:50:00,25,25
593,2016-05-07 14:47:00,17,24
594,2016-05-08 14:50:00,41,41
595,2016-05-09 14:51:00,55,62
596,2016-05-10 14:51:00,24,29
597,2016-05-11 14:51:00,33,43
598,2016-05-12 14:57:00,10,10
599,2016-05-13 14:57:00,28,40
600,2016-05-14 14:53:00,8,18
601,2016-05-15 14:57:00,44,56
602,2016-05-17 14:56:00,32,44
603,2016-05-18 14:56:00,5,5
604,2016-05-19 14:51:00,6,6
605,2016-05-20 14:52:00,12,22
606,2016-05-21 14:49:00,5,5
607,2016-05-22 14:52:00,16,33
608,2016-05-23 14:51:00,7,7
609,2016-05-24 14:48:00,13,13
610,2016-05-25 14:50:00,35,42
611,2016-05-26 14:53:00,9,15
612,2016-05-27 14:57:00,29,37
613,2016-05-28 14:53:00,11,11
614,2016-05-29 14:50:00,19,19
615,2016-05-30 14:56:00,21,29
616,2016-05-31 14:54:00,41,55
617,2016-06-01 14:56:00,8,8
618,2016-06-02 14:50:00,13,23
619,2016-06-03 14:49:00,23,35
620,2016-06-04 14:51:00,13,20
621,2016-06-05 14:47:00,35,50
622,2016-06-06 14:53:00,33,42
623,2016-06-07 14:50:00,12,12
624,2016-06-08 14:53:00,46,59
625,2016-06-09 14:49:00,44,54
626,2016-06-10 14:58:00,27,27
627,2016-06-11 14:50:00,9,9
628,2016-06-12 14:54:00,57,63
629,2016-06-13 14:50:00,42,57
630,2016-06-14 14:55:00,53,59
631,2016-06-15 14:50:00,30,42
632,2016-06-16 14:55:00,14,26
633,2016-06-17 14:56:00,14,18
634,2016-06-18 14:51:00,9,9
635,2016-06-19 14:49:00,21,27
636,2016-06-20 14:54:00,25,34
637,2016-06-21 14:57:00,33,39
638,2016-06-22 14:59:00,45,45
639,2016-06-23 14:54:00,20,26
640,2016-06-24 14:54:00,6,6
641,2016-06-25 14:53:00,2,2
642,2016-06-26 14:52:00,5,5
643,2016-06-27 14:55:00,16,24
644,2016-06-28 14:57:00,16,19
645,2016-06-29 14:57:00,6,6
646,2016-06-30 14:52:00,20,28
647,2016-07-01 14:51:00,16,25
648,2016-07-02 14:48:00,44,50
649,2016-07-03 14:53:00,37,53
650,2016-07-04 14:56:00,31,38
651,2016-07-05 14:53:00,16,16
652,2016-07-06 14:53:00,13,19
653,2016-07-07 14:49:00,37,42
654,2016-07-08 14:50:00,8,8
655,2016-07-09 14:52:00,15,29
656,2016-07-10 14:50:00,11,11
657,2016-07-11 14:48:00,17,30
658,2016-07-12 14:53:00,8,8
659,2016-07-13 14:51:00,20,22
660,2016-07-14 14:52:00,20,33
661,2016-07-15 14:50:00,28,35
