,WindDir,valid,UP,M,BL,FG,RA,SN,tmpf,dwpf,relh,sknt,vsby,gust
102,NW,2014-08-06 04:52:00,False,False,False,True,False,False,46.4,46.4,100,20,0,20
103,NW,2014-08-06 14:48:00,False,False,False,True,False,False,46.4,46.4,100,25,0.06,30
104,N,2014-08-06 22:48:00,False,False,False,True,False,False,41,41,100,25,0.12,25
105,NW,2014-08-07 04:51:00,False,False,False,True,False,False,41,41,100,28,0,28
106,N,2014-08-07 14:49:00,False,False,False,True,True,False,39.2,39.2,100,33,0.06,41
107,N,2014-08-07 22:50:00,False,False,False,True,False,False,41,41,100,25,0,25
108,N,2014-08-08 04:55:00,False,False,False,True,False,False,41,39.2,93.24,29,30,29
109,NW,2014-08-08 14:48:00,False,False,False,True,False,False,46.4,46.4,100,21,0.06,31
110,N,2014-08-08 22:51:00,True,True,False,False,False,False,42.8,42.8,100,22,0,22
111,N,2014-08-09 04:53:00,False,True,False,False,False,False,44.6,39.2,81.2,24,75,24
112,N,2014-08-09 14:55:00,True,True,False,False,False,False,48.2,46.4,93.45,15,60,15
113,N,2014-08-09 22:49:00,False,True,False,False,False,False,46.4,41,81.34,15,70,24
114,NW,2014-08-10 04:51:00,False,True,False,False,False,False,46.4,44.6,93.4,19,50,19
115,N,2014-08-10 14:52:00,True,True,False,False,False,False,55.4,48.2,76.66,6,35,6
116,N,2014-08-10 22:50:00,False,True,False,False,False,False,48.74,47.48,95.38,7,40,7
117,W,2014-08-11 04:51:00,False,True,False,False,False,False,48.2,44.6,87.28,9,40,9
118,SE,2014-08-11 14:56:00,False,True,False,False,False,False,57.2,50,76.82,6,25,6
119,S,2014-08-11 22:48:00,False,False,False,True,False,False,50,50,100,9,0.12,9
120,S,2014-08-12 04:54:00,False,False,False,True,False,False,50,50,100,10,0.25,10
121,SE,2014-08-12 14:54:00,False,False,False,True,False,False,46.4,46.4,100,33,0.19,38
122,SE,2014-08-12 22:51:00,False,False,False,True,False,False,44.6,44.6,100,35,0,48
123,SE,2014-08-13 04:49:00,True,True,False,False,False,False,46.4,46.4,100,48,0,58
124,SE,2014-08-13 14:50:00,False,False,False,True,True,False,42.8,42.8,100,38,0,47
125,E,2014-08-13 22:51:00,True,True,False,False,False,False,46.4,46.4,100,23,0.06,23
126,W,2014-08-14 04:55:00,True,True,False,False,False,False,42.8,42.8,100,17,0.06,17
127,W,2014-08-14 14:52:00,False,False,False,True,False,False,41,41,100,10,0.06,10
128,W,2014-08-14 22:57:00,False,True,False,False,False,False,37.4,35.6,93.14,18,100,18
129,SW,2014-08-15 04:56:00,False,False,False,True,False,False,35.6,35.6,100,21,0.06,21
130,SW,2014-08-15 14:51:00,False,False,False,True,False,False,39.2,39.2,100,5,0.06,5
131,W,2014-08-15 22:52:00,True,True,False,False,False,False,37.4,37.4,100,6,0,6
132,W,2014-08-16 04:55:00,True,True,False,False,False,False,37.4,37.4,100,35,0,35
133,W,2014-08-16 14:51:00,False,False,False,True,False,False,41,41,100,20,0.06,20
134,SW,2014-08-16 22:56:00,False,True,False,False,False,False,40,38.66,95.2,16,60,26
135,W,2014-08-17 04:54:00,False,False,False,True,False,False,41,41,100,31,0,31
136,W,2014-08-17 14:50:00,True,True,False,False,False,False,42.8,42.8,100,27,0,33
137,W,2014-08-17 22:54:00,False,False,False,True,False,False,41,41,100,40,0,49
138,W,2014-08-18 04:51:00,False,False,False,True,False,False,39.2,39.2,100,37,0,42
139,W,2014-08-18 14:48:00,False,False,False,True,False,False,39.2,39.2,100,16,0,20
140,N,2014-08-18 22:53:00,False,True,False,False,False,False,39.2,35.6,86.79,9,130,9
141,W,2014-08-19 04:54:00,False,True,False,False,False,False,44.6,30.2,56.74,7,120,7
142,E,2014-08-19 14:54:00,False,True,False,False,False,False,50,44.6,81.61,2,0.25,2
143,SW,2014-08-19 22:58:00,False,True,False,False,False,False,46.4,35.6,65.83,8,130,8
144,SW,2014-08-20 04:50:00,False,True,False,False,False,False,42.8,41,93.3,5,100,5
145,W,2014-08-20 14:59:00,False,True,False,False,False,False,57.2,46.4,67.12,8,85,8
146,SW,2014-08-21 04:53:00,False,True,False,False,False,False,50,41,71.07,1,90,1
147,SE,2014-08-21 14:47:00,True,True,False,False,False,False,46.4,42.8,87.19,8,65,8
148,SE,2014-08-21 22:53:00,True,True,False,False,False,False,46.4,39.2,75.84,17,35,17
149,SE,2014-08-22 04:51:00,False,False,False,True,False,False,44.6,44.6,100,20,0,20
150,E,2014-08-22 14:58:00,True,True,False,False,False,False,44.6,44.6,100,17,0,17
151,E,2014-08-22 22:52:00,False,False,False,True,False,False,44.6,44.6,100,13,0,13
152,NE,2014-08-23 04:53:00,False,False,False,True,False,False,41,41,100,14,0.06,14
153,NE,2014-08-23 14:52:00,False,True,False,False,False,False,48.2,42.8,81.47,7,90,7
154,NE,2014-08-23 22:50:00,False,False,False,True,False,False,44.6,44.6,100,18,0,18
155,NE,2014-08-24 04:49:00,False,False,False,True,False,False,42.8,42.8,100,19,0.06,19
156,N,2014-08-24 14:53:00,False,True,False,False,False,False,55.4,46.4,71.64,8,45,8
157,NW,2014-08-24 22:48:00,False,True,False,False,False,False,50,46.4,87.37,7,60,7
